,LOCATION,TIME,SP_DYN_TFRT_IN,SP_DYN_LE00_IN,SP_DYN_IMRT_IN,SP_POP_GROW,SH_DYN_AIDS_ZS,SP_RUR_TOTL_ZS,NY_GDP_MKTP_CN,NY_GDP_MKTP_CD,NY_GDP_DEFL_ZS,NY_GDP_MKTP_KD_ZG,NY_GDP_PCAP_CD,NY_GDP_PCAP_PP_CD,NY_GDP_MKTP_PP_CD,XTGOV_IMF,NY_GNP_PCAP_CD,NY_GNP_PCAP_PP_CD,SI_POV_DDAY,PA_NUS_PPP,DT_TDS_DECT_GN_ZS,200101,200151,200345,200343,200144,NY_GNP_PCAP_CN,NY_GDP_MKTP_KD,PA_NUS_PPPC_RF,PA_NUS_FCRF,NY_GDP_MKTP_KN,PA_NUS_ATLS,PA_NUS_PRVT_PP,NY_GNP_MKTP_CN,NY_GDP_PCAP_PP_KD,NY_GDP_MKTP_PP_KD,NY_GDP_PCAP_CN,poverty
29,AUS,1999,1.755,78.93171,5.2,1.1425100000000001,0.1,15.63,619801000000.0,388395162301.04,61.71386999999999,5.01806,20521.77757,25250.51285,477891206291.68396,231216000000.0,21420.0,24460.0,NA,1.29695,NA,18788.186,2297.416,9966.173,3949.995,2574.6020000000003,31724.08327,816535447394.947,0.8127300000000001,1.54995,1004314000000.0,1.5958,1.37299,600410000000.0,34443.866180000005,651884611283.429,32748.65265,False
30,AUS,2000,1.756,79.23415,5.1,1.1922700000000002,0.1,15.765,660859000000.0,415034227218.489,63.30576,3.94319,21669.41091,26316.72708,504044273834.521,242066000000.0,21110.0,25560.0,NA,1.31111,NA,18991.431,2340.442,10123.292,3965.8709999999996,2561.826,33507.38788,848732984009.725,0.8234100000000001,1.7248299999999999,1043916000000.0,1.5923,1.3841700000000001,641767000000.0,35377.72955,677589654104.745,34504.203,False
31,AUS,2001,1.739,79.63415,5.0,1.34836,0.1,15.9,704766000000.0,378215090694.43,66.23143,1.9331099999999999,19482.5679,27325.05115,530461217936.89703,260186000000.0,20110.0,26560.0,0.7,1.32859,NA,19194.672,2383.077,10251.565,3965.0029999999997,2595.027,35284.345539999995,865139889945.9459,0.71299,1.93344,1064096000000.0,1.8634,1.40385,684975000000.0,35578.64207,690688178526.09,36303.81703,False
32,AUS,2002,1.756,79.93659,5.0,1.22056,0.1,15.777999999999999,753943000000.0,394486709920.469,68.12581999999999,4.003019999999999,20074.22931,28706.437810000003,564121691894.44,273158000000.0,19980.0,27930.0,NA,1.33649,NA,19401.368000000002,2428.26,10367.801,3964.866,2640.441,37322.53173,899771632525.692,0.69929,1.8405599999999998,1106692000000.0,1.9112,1.42345,733440000000.0,36553.96461,718336580223.397,38365.867060000004,False
33,AUS,2003,1.7480000000000002,80.23902,4.9,1.234,0.1,15.657,800628000000.0,466294700058.241,70.24686,2.9857400000000003,23437.31215,29681.597710000002,590527259115.568,289805000000.0,21110.0,28840.0,1.0,1.35579,NA,19624.166,2477.922,10484.06,3967.988,2694.196,39106.9795,926636518197.177,0.78962,1.5419100000000001,1139735000000.0,1.7169999999999999,1.4581899999999999,778049000000.0,37183.68457,739784278065.545,40241.86495,False
34,AUS,2004,1.768,80.49024,4.8,1.15935,0.1,15.537,860215000000.0,611904253805.662,72.57134,4.00111,30401.55479,31297.39771,629935242731.7421,311553000000.0,25450.0,30400.0,0.7,1.36556,NA,19879.648999999998,2533.777,10618.185,3977.715,2749.972,41517.43395,963712223078.423,0.9713799999999999,1.35975,1185337000000.0,1.4058,1.44404,835638000000.0,38225.69371,769383827652.374,42738.50572,False
48,AUT,1970,2.29,69.91463,25.1,0.34922,NA,34.742,29047294400.0,15373005768.7219,26.32116,6.32114,2058.76908,NA,NA,NA,2070.0,NA,NA,NA,NA,7516.2390000000005,1050.07,3621.7329999999997,1847.8529999999998,996.5830000000001,3907.9162100000003,146159747322.549,NA,1.8894900000000001,110357179400.0,1.8895,NA,29180746400.0,NA,NA,3890.04418,False
49,AUT,1971,2.2,70.11463,24.7,0.44625,NA,34.699,32427438800.0,17858485956.6031,27.95423,5.11497,2380.97844,NA,NA,NA,2320.0,NA,NA,NA,NA,7550.34,1070.2160000000001,3626.58,1852.464,1001.08,4346.35717,153635772670.608,NA,1.81577,116001914600.0,1.8158,NA,32599773700.0,NA,NA,4323.38066,False
50,AUT,1972,2.08,70.46341,24.1,0.58119,NA,34.689,37057942900.0,22059612417.4058,30.07873,6.20786,2924.04887,NA,NA,NA,2760.0,NA,NA,NA,NA,7581.116999999999,1087.779,3633.513,1847.0479999999998,1012.7769999999999,4932.745910000001,163173267863.47302,NA,1.67986,123203152200.0,1.6799,NA,37213626600.0,NA,NA,4912.1097,False
51,AUT,1973,1.94,71.01463000000001,23.0,0.55404,NA,34.679,41997559400.0,29515467987.912003,32.49873,4.89044,3890.72246,NA,NA,NA,3580.0,NA,NA,NA,NA,7607.065,1102.863,3641.532,1831.945,1030.725,5556.07359,171153151159.323,NA,1.42293,129228322800.0,1.4229,NA,42149013200.0,NA,NA,5536.10898,False
